query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,attr3_low,attr3_high,expected_top10
0,attr0_nav_sel0.1,0,0,56233,36959,93192,7921,64154,43766,99999,
1,attr1_nav_sel0.1,1,21124,77357,0,56233,30855,87088,0,56233,
2,attr2_nav_sel0.1,2,21087,77320,21692,77925,0,56233,0,56233,
3,attr3_nav_sel0.1,3,18614,74847,32244,88477,33053,89286,43766,99999,
4,balanced_sel0.1,0,41436,97669,0,56233,1369,57602,34980,91213,
5,attr0_nav_sel0.1,0,43766,99999,43766,99999,27057,83290,33942,90175,
6,attr1_nav_sel0.1,1,0,56233,37310,93543,41912,98145,38420,94653,
7,attr2_nav_sel0.1,2,0,56233,33214,89447,41108,97341,34260,90493,
8,attr3_nav_sel0.1,3,43766,99999,0,56233,0,56233,18815,75048,
9,balanced_sel0.1,0,0,56233,43766,99999,43766,99999,27793,84026,
10,attr0_nav_sel0.1,0,13992,70225,14596,70829,37517,93750,17053,73286,
11,attr1_nav_sel0.1,1,43766,99999,22608,78841,43766,99999,0,56233,
12,attr2_nav_sel0.1,2,19219,75452,7587,63820,0,56233,0,56233,
13,attr3_nav_sel0.1,3,41448,97681,43766,99999,43766,99999,0,56233,
14,balanced_sel0.1,0,19428,75661,43766,99999,0,56233,16653,72886,
15,attr0_nav_sel0.1,0,0,56233,0,56233,43766,99999,16058,72291,
16,attr1_nav_sel0.1,1,35419,91652,43766,99999,43766,99999,0,56233,
17,attr2_nav_sel0.1,2,43766,99999,0,56233,23177,79410,0,56233,
18,attr3_nav_sel0.1,3,0,56233,43766,99999,0,56233,43766,99999,
19,balanced_sel0.1,0,43766,99999,0,56233,34387,90620,0,56233,
20,attr0_nav_sel0.1,0,43766,99999,0,56233,4602,60835,0,56233,
21,attr1_nav_sel0.1,1,43766,99999,0,56233,43766,99999,18715,74948,
22,attr2_nav_sel0.1,2,0,56233,43766,99999,5366,61599,0,56233,
23,attr3_nav_sel0.1,3,0,56233,43766,99999,0,56233,0,56233,
24,balanced_sel0.1,0,21592,77825,43766,99999,0,56233,43766,99999,
25,attr0_nav_sel0.1,0,0,56233,0,56233,43766,99999,0,56233,
26,attr1_nav_sel0.1,1,37104,93337,15764,71997,43766,99999,12174,68407,
27,attr2_nav_sel0.1,2,43766,99999,0,56233,15939,72172,7390,63623,
28,attr3_nav_sel0.1,3,14370,70603,4203,60436,0,56233,3046,59279,
29,balanced_sel0.1,0,43766,99999,0,56233,24454,80687,43766,99999,
30,attr0_nav_sel0.1,0,2079,58312,43766,99999,43766,99999,43766,99999,
31,attr1_nav_sel0.1,1,0,56233,38679,94912,0,56233,29671,85904,
32,attr2_nav_sel0.1,2,9418,65651,42902,99135,13169,69402,0,56233,
33,attr3_nav_sel0.1,3,43766,99999,0,56233,18408,74641,0,56233,
34,balanced_sel0.1,0,3720,59953,0,56233,43766,99999,43766,99999,
35,attr0_nav_sel0.1,0,43766,99999,44,56277,32259,88492,17222,73455,
36,attr1_nav_sel0.1,1,43766,99999,43766,99999,43766,99999,1102,57335,
37,attr2_nav_sel0.1,2,0,56233,16497,72730,0,56233,43766,99999,
38,attr3_nav_sel0.1,3,43766,99999,29507,85740,43766,99999,21690,77923,
39,balanced_sel0.1,0,0,56233,39007,95240,43766,99999,43766,99999,
40,attr0_nav_sel0.1,0,39331,95564,0,56233,43766,99999,26447,82680,
41,attr1_nav_sel0.1,1,43766,99999,33268,89501,18872,75105,0,56233,
42,attr2_nav_sel0.1,2,23067,79300,0,56233,43766,99999,0,56233,
43,attr3_nav_sel0.1,3,43766,99999,42661,98894,2929,59162,0,56233,
44,balanced_sel0.1,0,43766,99999,43766,99999,1107,57340,19140,75373,
45,attr0_nav_sel0.1,0,35876,92109,22845,79078,43766,99999,32568,88801,
46,attr1_nav_sel0.1,1,3342,59575,37083,93316,29702,85935,21262,77495,
47,attr2_nav_sel0.1,2,39481,95714,16232,72465,0,56233,0,56233,
48,attr3_nav_sel0.1,3,15292,71525,43766,99999,0,56233,36600,92833,
49,balanced_sel0.1,0,0,56233,40125,96358,43766,99999,8615,64848,
50,attr0_nav_sel0.1,0,43766,99999,26238,82471,43766,99999,2205,58438,
51,attr1_nav_sel0.1,1,0,56233,43766,99999,43766,99999,43766,99999,
52,attr2_nav_sel0.1,2,0,56233,43766,99999,34531,90764,14861,71094,
53,attr3_nav_sel0.1,3,0,56233,43766,99999,43766,99999,4468,60701,
54,balanced_sel0.1,0,0,56233,0,56233,43766,99999,0,56233,
55,attr0_nav_sel0.1,0,43766,99999,0,56233,0,56233,0,56233,
56,attr1_nav_sel0.1,1,4137,60370,43766,99999,17181,73414,22066,78299,
57,attr2_nav_sel0.1,2,43766,99999,43766,99999,43766,99999,0,56233,
58,attr3_nav_sel0.1,3,43766,99999,35662,91895,43766,99999,2872,59105,
59,balanced_sel0.1,0,33752,89985,0,56233,43766,99999,15528,71761,
60,attr0_nav_sel0.1,0,10427,66660,0,56233,25101,81334,19847,76080,
61,attr1_nav_sel0.1,1,32952,89185,0,56233,43766,99999,0,56233,
62,attr2_nav_sel0.1,2,0,56233,8776,65009,43766,99999,0,56233,
63,attr3_nav_sel0.1,3,43766,99999,0,56233,31261,87494,0,56233,
64,balanced_sel0.1,0,0,56233,0,56233,43766,99999,12549,68782,
65,attr0_nav_sel0.1,0,15010,71243,0,56233,0,56233,33937,90170,
66,attr1_nav_sel0.1,1,23890,80123,0,56233,43766,99999,13649,69882,
67,attr2_nav_sel0.1,2,30871,87104,0,56233,9243,65476,41786,98019,
68,attr3_nav_sel0.1,3,43766,99999,0,56233,0,56233,29792,86025,
69,balanced_sel0.1,0,43766,99999,0,56233,0,56233,18714,74947,
70,attr0_nav_sel0.1,0,43766,99999,8853,65086,0,56233,39784,96017,
71,attr1_nav_sel0.1,1,6320,62553,43766,99999,0,56233,37544,93777,
72,attr2_nav_sel0.1,2,0,56233,25222,81455,43766,99999,20053,76286,
73,attr3_nav_sel0.1,3,0,56233,20199,76432,13390,69623,12955,69188,
74,balanced_sel0.1,0,0,56233,0,56233,0,56233,43766,99999,
75,attr0_nav_sel0.1,0,43766,99999,33946,90179,30954,87187,0,56233,
76,attr1_nav_sel0.1,1,32226,88459,0,56233,0,56233,2907,59140,
77,attr2_nav_sel0.1,2,11417,67650,43766,99999,24927,81160,31480,87713,
78,attr3_nav_sel0.1,3,43766,99999,0,56233,23776,80009,43766,99999,
79,balanced_sel0.1,0,0,56233,37255,93488,0,56233,43766,99999,
80,attr0_nav_sel0.1,0,0,56233,43766,99999,43766,99999,43766,99999,
81,attr1_nav_sel0.1,1,0,56233,14865,71098,16501,72734,0,56233,
82,attr2_nav_sel0.1,2,43766,99999,43766,99999,32508,88741,0,56233,
83,attr3_nav_sel0.1,3,22005,78238,19804,76037,43766,99999,29059,85292,
84,balanced_sel0.1,0,10690,66923,15752,71985,43766,99999,15230,71463,
85,attr0_nav_sel0.1,0,39147,95380,43766,99999,39829,96062,43766,99999,
86,attr1_nav_sel0.1,1,12717,68950,0,56233,0,56233,37662,93895,
87,attr2_nav_sel0.1,2,3742,59975,21626,77859,40469,96702,27580,83813,
88,attr3_nav_sel0.1,3,0,56233,0,56233,25895,82128,43766,99999,
89,balanced_sel0.1,0,15613,71846,43766,99999,16213,72446,34693,90926,
90,attr0_nav_sel0.1,0,43766,99999,0,56233,0,56233,43766,99999,
