"path","bytes","sha256","all_metric_lines"
"bigvectorbench_app_reviews/build_hnsw/M16.log","251","bb6171dd2f50f05de1b14e5b9c4b5be479c4472ce5c928d7abce3fcedbe0b60d","0"
"bigvectorbench_app_reviews/query/dsg_ef1024.log","770","24289f062ff337a67036301592b24157984a5acb9e12212467c3a1c6586b09ad","1"
"bigvectorbench_app_reviews/query/dsg_ef128.log","769","38bafbfd09c3cfb754a34f4c408b9f3244d46bf98fc7a68b9afa11c83d9d91bd","1"
"bigvectorbench_app_reviews/query/dsg_ef1536.log","770","33461fd8167062393408532e18d614f714b413c229b123abb1245fef59bdbb5f","1"
"bigvectorbench_app_reviews/query/dsg_ef2048.log","770","704aaafa7228cdc2e9e63dd88ea0b04213fe2258d7a4d2b93267fe32714512da","1"
"bigvectorbench_app_reviews/query/dsg_ef256.log","769","1a1b3e5121ff9791a8ef6036d6b6f9875269bf09b6e219f28cb415c5ea6a0845","1"
"bigvectorbench_app_reviews/query/dsg_ef3072.log","770","9915e1241c340081aeb383e5292675b588b492ff53a45577bf1195013c141a86","1"
"bigvectorbench_app_reviews/query/dsg_ef4096.log","770","fa75b9cba3a196f255a25b17d0a687e5ee14ee0c9d7fa3694375fd4e7b1905da","1"
"bigvectorbench_app_reviews/query/dsg_ef512.log","767","600fc3bd1877250f3169ace0beacfde37339d9082c4f5b176c7f0db53f50fd16","1"
"bigvectorbench_app_reviews/query/dsg_ef6144.log","772","f6ce42cb32f2b43e36cf331ff2c6b3761e3ada5a4309b089d52bde0813491e7b","1"
"bigvectorbench_app_reviews/query/dsg_ef768.log","767","f2e49fb655193b5e2dbe831cad012e39dfc30e118949970216e6b0f2926487f1","1"
"bigvectorbench_app_reviews/query/dsg_ef8192.log","772","fe2805d06f4f15945c217bd82c2dca4ed2b6ae37b98ddfe4bb9aea3cee934622","1"
"bigvectorbench_app_reviews/query/dsg_smoke_ef256_q1000.log","765","c11e8670ebb329b346d7e5a70b229698326800a82995d381eb58a9cb5722bb3f","1"
"bigvectorbench_app_reviews/query/hnsw_insearch_ef1024.log","475","d3c858f5ecaf4369499258ee2eb64e97b63cf01e9194f076b32a4ffa02d56018","1"
"bigvectorbench_app_reviews/query/hnsw_insearch_ef128.log","470","002e51fe803275b09886db2f960006f2c8819ba206b21d5bca8f384719a33e5b","1"
"bigvectorbench_app_reviews/query/hnsw_insearch_ef2048.log","479","a5701725e8287c1d56e36e69d7509438bce48d7559ae367b0204b5a34494822e","1"
"bigvectorbench_app_reviews/query/hnsw_insearch_ef256.log","470","bbfdc6acb59789ce43e64f191d32a950a9e1ef0c296ab2795d5a9cb7b23923d9","1"
"bigvectorbench_app_reviews/query/hnsw_insearch_ef4096.log","479","f5a085fc7b8353e0a56615e91e2f715b21db74605461aa01ea596633363bed50","1"
"bigvectorbench_app_reviews/query/hnsw_insearch_ef512.log","472","3083b0e734efb9401f0377c2d24e889a18806fb6357e765952b71513abca2045","1"
"bigvectorbench_app_reviews/query/hnsw_insearch_ef8192.log","479","d90017cd6016b8051fc192ca5ff3f1ccf9ccdfbe96bf8eb535e2ed536bcd2dcf","1"
"bigvectorbench_app_reviews/query/hnsw_post_c1024.log","464","db083f2f47c77e9608c35adad471d19800866d5e4ee64b30af88a91d73b10219","1"
"bigvectorbench_app_reviews/query/hnsw_post_c16384.log","472","e6d66523ef98ccf4d4292a595a7fde9e9fff0c279cea4cec02d67e4cef271b59","1"
"bigvectorbench_app_reviews/query/hnsw_post_c2048.log","466","a4c239daa7ca04d515c0307435a01e7defefbfd01c22d5e31a0cbe98da8304c3","1"
"bigvectorbench_app_reviews/query/hnsw_post_c32768.log","474","9ca12de03ddb839e630516d1d18215603376425d0dcf7e2855e81a7ff1e0e80d","1"
"bigvectorbench_app_reviews/query/hnsw_post_c4096.log","466","ad0213e75b6ad10a63366770d9cbebd98671e6f273657caa57c48969f4992e00","1"
"bigvectorbench_app_reviews/query/hnsw_post_c512.log","460","49ef87a30e8f014c28a2a5c264561c2c9c79973524791dd82c85c421d14d1c48","1"
"bigvectorbench_app_reviews/query/hnsw_post_c65536.log","474","17dc171e6715f2f4ab3b01eb30608049f7412882cc62c7acf018bb68213c5e87","1"
"bigvectorbench_app_reviews/query/hnsw_post_c8192.log","466","20958e858b6fd661063047a1d67106dc1b335a4f9611bbb1c06d2adf7cc7fcc0","1"
"bigvectorbench_app_reviews/query/indexed_attrs_ablation/attrs0_ef4096.log","547","e1c46877d71e27f1cdbc392f4c4b20aae7692b519d6a87fc50a1995b9d809714","1"
"bigvectorbench_app_reviews/query/indexed_attrs_ablation/attrs01_ef4096.log","658","d8fa52a747f0dc019d673ff1f5e47b1627908b906ed9dbcaaa40aa9561043d0e","1"
"bigvectorbench_app_reviews/query/indexed_attrs_ablation/attrs012_ef4096.log","770","68f022f07ca30b6abd25423f739019ff7e211a63d7f5eb24545386023bf5c034","1"
"bigvectorbench_app_reviews/query/indexed_attrs_ablation/attrs1_ef4096.log","545","7bba041153ad4f51753af93cfcda598f594429e34ace72a777034d1d74a149e4","1"
"bigvectorbench_app_reviews/query/routing_ablation/adaptive_ef4096.log","770","33ffd66a6b5752082bf8c3a05dfe4540b882a8486bb607de8da46b60f739d18c","1"
"bigvectorbench_app_reviews/query/routing_ablation/fixed_attr0_ef4096.log","781","097b3a8eb88cd8c7715a6b819e5834f83dc8cf0b17b8cb49216abe2802f7aaf2","1"
"bigvectorbench_app_reviews/query/routing_ablation/fixed_attr1_ef4096.log","779","a0b50fbce2f765975e3fd5d0a35207e014e09f2326199a518e792b7fcf14696a","1"
"bigvectorbench_app_reviews/query/routing_ablation/fixed_attr2_ef4096.log","781","cc82564cdc745a7566461d8c8c2e12970168620280e46fcbb231c12843c5d92c","1"
"bigvectorbench_app_reviews/router_p0/adaptive_per_query.csv","755917","5fb316d874cb9136185c9f11201cec8dcba5d24d2b30787bf539cca0e37cbe91","0"
"bigvectorbench_app_reviews/router_p0/adaptive.log","770","7e8ad946384462696c7961d21fac275860c7174d0b8d53d1358d45a6c06e40b8","1"
"bigvectorbench_app_reviews/router_p0/fixed_attr0_per_query.csv","772343","2d79fa62e97998ee705fcd109403ef49cba50f7f34c85b075cebb15585060a7e","0"
