query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,attr3_low,attr3_high,expected_top10
0,attr0_nav_sel0.01,0,0,316227,513419,829646,517706,833933,365603,681830,
1,attr1_nav_sel0.01,1,416650,732877,29490,345717,253516,569743,683772,999999,
2,attr2_nav_sel0.01,2,554733,870960,683772,999999,0,316227,440394,756621,
3,attr3_nav_sel0.01,3,0,316227,140986,457213,600033,916260,124163,440390,
4,balanced_sel0.01,0,457280,773507,683772,999999,444552,760779,116811,433038,
5,attr0_nav_sel0.01,0,683772,999999,290531,606758,234877,551104,659504,975731,
6,attr1_nav_sel0.01,1,465006,781233,0,316227,0,316227,0,316227,
7,attr2_nav_sel0.01,2,683772,999999,267564,583791,184537,500764,587422,903649,
8,attr3_nav_sel0.01,3,683772,999999,418842,735069,0,316227,46310,362537,
9,balanced_sel0.01,0,667265,983492,585222,901449,498851,815078,250324,566551,
10,attr0_nav_sel0.01,0,116340,432567,683772,999999,471418,787645,584777,901004,
11,attr1_nav_sel0.01,1,130707,446934,268041,584268,306386,622613,0,316227,
12,attr2_nav_sel0.01,2,33085,349312,412051,728278,599236,915463,313370,629597,
13,attr3_nav_sel0.01,3,612008,928235,343962,660189,0,316227,0,316227,
14,balanced_sel0.01,0,83134,399361,683772,999999,257591,573818,384050,700277,
15,attr0_nav_sel0.01,0,104913,421140,245265,561492,683772,999999,24657,340884,
16,attr1_nav_sel0.01,1,683772,999999,206688,522915,0,316227,305793,622020,
17,attr2_nav_sel0.01,2,298834,615061,367588,683815,95881,412108,285364,601591,
18,attr3_nav_sel0.01,3,683772,999999,337305,653532,163613,479840,484321,800548,
19,balanced_sel0.01,0,683772,999999,421559,737786,492274,808501,109694,425921,
20,attr0_nav_sel0.01,0,485827,802054,506828,823055,420172,736399,683772,999999,
21,attr1_nav_sel0.01,1,367946,684173,273061,589288,177938,494165,346642,662869,
22,attr2_nav_sel0.01,2,683772,999999,683772,999999,683772,999999,370621,686848,
23,attr3_nav_sel0.01,3,683772,999999,0,316227,664939,981166,288120,604347,
24,balanced_sel0.01,0,41883,358110,465152,781379,59360,375587,282011,598238,
25,attr0_nav_sel0.01,0,0,316227,0,316227,683772,999999,342565,658792,
26,attr1_nav_sel0.01,1,0,316227,683772,999999,611126,927353,170783,487010,
27,attr2_nav_sel0.01,2,588032,904259,683772,999999,601012,917239,132023,448250,
28,attr3_nav_sel0.01,3,400422,716649,548862,865089,683772,999999,322649,638876,
29,balanced_sel0.01,0,56161,372388,156652,472879,68697,384924,683772,999999,
30,attr0_nav_sel0.01,0,147836,464063,683772,999999,0,316227,0,316227,
31,attr1_nav_sel0.01,1,0,316227,129727,445954,257146,573373,683772,999999,
32,attr2_nav_sel0.01,2,586737,902964,0,316227,653494,969721,96376,412603,
33,attr3_nav_sel0.01,3,402387,718614,520393,836620,273853,590080,683772,999999,
34,balanced_sel0.01,0,643043,959270,56790,373017,103643,419870,18466,334693,
35,attr0_nav_sel0.01,0,99729,415956,497827,814054,271397,587624,104966,421193,
36,attr1_nav_sel0.01,1,109251,425478,381961,698188,506514,822741,177071,493298,
37,attr2_nav_sel0.01,2,107614,423841,502598,818825,333481,649708,560172,876399,
38,attr3_nav_sel0.01,3,9789,326016,574695,890922,526331,842558,624901,941128,
39,balanced_sel0.01,0,444438,760665,91473,407700,678895,995122,326422,642649,
40,attr0_nav_sel0.01,0,81935,398162,196643,512870,0,316227,572281,888508,
41,attr1_nav_sel0.01,1,155058,471285,224530,540757,683772,999999,192149,508376,
42,attr2_nav_sel0.01,2,328845,645072,225850,542077,288014,604241,0,316227,
43,attr3_nav_sel0.01,3,0,316227,254441,570668,171146,487373,0,316227,
44,balanced_sel0.01,0,518675,834902,683772,999999,242601,558828,592087,908314,
45,attr0_nav_sel0.01,0,363930,680157,0,316227,451399,767626,283654,599881,
46,attr1_nav_sel0.01,1,663037,979264,683772,999999,0,316227,73947,390174,
47,attr2_nav_sel0.01,2,343257,659484,121530,437757,200185,516412,560581,876808,
48,attr3_nav_sel0.01,3,410446,726673,603731,919958,683772,999999,296437,612664,
49,balanced_sel0.01,0,516073,832300,78524,394751,78037,394264,0,316227,
50,attr0_nav_sel0.01,0,349746,665973,483947,800174,204110,520337,683772,999999,
51,attr1_nav_sel0.01,1,214830,531057,281478,597705,257600,573827,432420,748647,
52,attr2_nav_sel0.01,2,37549,353776,91180,407407,301927,618154,220019,536246,
53,attr3_nav_sel0.01,3,683772,999999,327462,643689,0,316227,0,316227,
54,balanced_sel0.01,0,62679,378906,596729,912956,177543,493770,266645,582872,
55,attr0_nav_sel0.01,0,399505,715732,472494,788721,0,316227,0,316227,
56,attr1_nav_sel0.01,1,106962,423189,683772,999999,446774,763001,564593,880820,
57,attr2_nav_sel0.01,2,0,316227,0,316227,683772,999999,404234,720461,
58,attr3_nav_sel0.01,3,369476,685703,231902,548129,44687,360914,92264,408491,
59,balanced_sel0.01,0,458196,774423,442335,758562,461952,778179,0,316227,
60,attr0_nav_sel0.01,0,683772,999999,11051,327278,462549,778776,170611,486838,
61,attr1_nav_sel0.01,1,476761,792988,0,316227,683772,999999,577072,893299,
62,attr2_nav_sel0.01,2,464903,781130,99046,415273,476475,792702,155152,471379,
63,attr3_nav_sel0.01,3,378833,695060,683772,999999,683772,999999,70702,386929,
64,balanced_sel0.01,0,468925,785152,364666,680893,101760,417987,0,316227,
65,attr0_nav_sel0.01,0,683772,999999,683772,999999,48901,365128,448483,764710,
66,attr1_nav_sel0.01,1,632961,949188,342184,658411,124743,440970,102889,419116,
67,attr2_nav_sel0.01,2,256447,572674,109557,425784,26893,343120,683772,999999,
68,attr3_nav_sel0.01,3,630501,946728,158021,474248,447446,763673,0,316227,
69,balanced_sel0.01,0,637409,953636,191442,507669,0,316227,683772,999999,
70,attr0_nav_sel0.01,0,0,316227,505076,821303,85538,401765,683772,999999,
71,attr1_nav_sel0.01,1,416468,732695,308240,624467,0,316227,660848,977075,
72,attr2_nav_sel0.01,2,668016,984243,516222,832449,0,316227,0,316227,
