0,0,5803,7181
1,1,6529,4276
2,2,8717,2234
3,3,8678,183
4,4,2724,6645
5,5,2689,4173
6,6,7566,1508
7,7,132,5103
8,8,7952,4142
9,9,6618,8323
10,10,7985,1706
11,11,3677,9777
12,12,5916,2244
13,13,7466,9962
14,14,6445,6836
15,15,3551,5566
16,16,5398,9630
17,17,4674,2604
18,18,6819,6468
19,19,1850,7844
20,20,165,5179
21,21,6178,2489
22,22,2517,2321
23,23,8377,3317
24,24,2917,9185
25,25,7156,1814
26,26,4787,7554
27,27,9674,6110
28,28,4861,1390
29,29,8016,5239
30,30,7697,5475
31,31,6429,1308
32,32,3854,3940
33,33,8299,6404
34,34,1657,2539
35,35,2869,1000
36,36,4369,6403
37,37,6519,7250
38,38,2156,7011
39,39,1112,2289
40,40,5775,9460
41,41,518,7818
42,42,7884,6984
43,43,6148,3827
44,44,4790,5643
45,45,4634,1586
46,46,8009,3484
47,47,4162,3002
48,48,7030,2158
49,49,3418,8535
50,50,8951,8949
51,51,436,4485
52,52,5939,5948
53,53,589,7657
54,54,6456,3645
55,55,591,1939
56,56,3767,9757
57,57,8225,3646
58,58,2424,6007
59,59,8685,1843
60,60,5822,5837
61,61,563,1430
62,62,4833,2127
63,63,2952,9657
64,64,9620,3251
65,65,177,3447
66,66,7532,7384
67,67,2637,41
68,68,6460,1224
69,69,5596,7112
70,70,7213,4980
71,71,7793,7034
72,72,3612,6783
73,73,3232,4774
74,74,3142,5810
75,75,7720,8044
76,76,6890,1228
77,77,1912,7285
78,78,472,3031
79,79,5838,1606
80,80,4152,6627
81,81,718,3380
82,82,7976,6698
83,83,9788,576
84,84,7158,8857
85,85,2457,7342
86,86,7068,9112
87,87,8227,8760
88,88,3195,3126
89,89,3062,6827
90,90,7637,3301
91,91,2188,8629
92,92,7004,8914
93,93,5189,5232
94,94,1568,2923
95,95,4528,4600
96,96,5647,2140
97,97,7894,1921
98,98,5382,2479
99,99,8133,8625
100,100,5808,9445
101,101,1139,3926
102,102,1998,6499
103,103,7929,2368
104,104,8645,4493
105,105,5230,7997
106,106,3407,1373
107,107,1312,8269
108,108,3214,1765
109,109,2518,2704
110,110,232,2009
111,111,1471,1766
112,112,8656,7121
113,113,3872,9893
114,114,1033,1176
115,115,7283,6894
116,116,4388,8018
117,117,1868,7487
118,118,5538,9695
119,119,8100,5690
120,120,8258,2803
121,121,7370,126
122,122,7891,4363
123,123,2445,5658
124,124,5954,6765
125,125,4740,4009
126,126,867,6913
127,127,9772,8268
128,128,3324,4204
129,129,1735,8379
130,130,206,5928
131,131,7221,6957
132,132,2914,5050
133,133,1489,3913
134,134,6627,2641
135,135,3763,27
136,136,6025,8137
137,137,6049,6982
138,138,2052,2501
139,139,4158,863
140,140,5336,7254
141,141,5298,5233
142,142,7363,6711
143,143,4957,1517
144,144,3236,8677
145,145,572,199
146,146,6722,6886
147,147,7070,2305
148,148,1978,4325
149,149,3446,917
150,150,5089,2982
151,151,4805,6243
152,152,1371,1256
153,153,4875,8556
154,154,5043,8233
155,155,4209,8469
156,156,3390,2312
157,157,8522,8348
158,158,606,3736
159,159,9375,4315
