query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,expected_top10
0,attr0_narrow,0,5259356,6259355,5000000,9999999,5000000,9999999,
1,attr1_narrow,1,4306511,9306510,3487630,4487629,406909,5406908,
2,attr2_narrow,2,0,4999999,4535116,9535115,4413491,5413490,
3,balanced,0,0,1999999,0,1999999,2642100,4642099,
4,attr0_narrow,0,2820060,3820059,0,4999999,3549278,8549277,
5,attr1_narrow,1,66988,5066987,102054,1102053,5000000,9999999,
6,attr2_narrow,2,3690060,8690059,0,4999999,3342481,4342480,
7,balanced,0,243170,2243169,0,1999999,5817535,7817534,
8,attr0_narrow,0,1122658,2122657,5000000,9999999,2174941,7174940,
9,attr1_narrow,1,0,4999999,6337251,7337250,5000000,9999999,
10,attr2_narrow,2,5000000,9999999,3913167,8913166,6985176,7985175,
11,balanced,0,7323935,9323934,0,1999999,1012248,3012247,
12,attr0_narrow,0,6293458,7293457,5000000,9999999,5000000,9999999,
13,attr1_narrow,1,0,4999999,3265581,4265580,5000000,9999999,
14,attr2_narrow,2,0,4999999,5000000,9999999,1113502,2113501,
15,balanced,0,6340778,8340777,0,1999999,2986985,4986984,
16,attr0_narrow,0,6879119,7879118,5000000,9999999,0,4999999,
17,attr1_narrow,1,4510149,9510148,3824472,4824471,0,4999999,
18,attr2_narrow,2,0,4999999,1350003,6350002,8360367,9360366,
19,balanced,0,4151131,6151130,6742962,8742961,7240474,9240473,
20,attr0_narrow,0,0,999999,2782689,7782688,5000000,9999999,
21,attr1_narrow,1,0,4999999,4312339,5312338,513206,5513205,
22,attr2_narrow,2,443725,5443724,3144616,8144615,3543879,4543878,
23,balanced,0,614899,2614898,4937560,6937559,5354784,7354783,
24,attr0_narrow,0,4853903,5853902,5000000,9999999,198004,5198003,
25,attr1_narrow,1,1540960,6540959,3262985,4262984,4924247,9924246,
26,attr2_narrow,2,0,4999999,2617977,7617976,5928136,6928135,
27,balanced,0,0,1999999,2076486,4076485,1168516,3168515,
28,attr0_narrow,0,8633098,9633097,0,4999999,348597,5348596,
29,attr1_narrow,1,4737535,9737534,940686,1940685,4688702,9688701,
30,attr2_narrow,2,0,4999999,0,4999999,813274,1813273,
31,balanced,0,0,1999999,21181,2021180,8000000,9999999,
32,attr0_narrow,0,3427096,4427095,1546115,6546114,1901921,6901920,
33,attr1_narrow,1,0,4999999,3518423,4518422,0,4999999,
34,attr2_narrow,2,0,4999999,0,4999999,8217090,9217089,
35,balanced,0,584163,2584162,3014634,5014633,4864351,6864350,
36,attr0_narrow,0,6642946,7642945,2953115,7953114,1475513,6475512,
37,attr1_narrow,1,4441232,9441231,5630659,6630658,2620645,7620644,
38,attr2_narrow,2,0,4999999,952829,5952828,6480684,7480683,
39,balanced,0,0,1999999,4120960,6120959,3710051,5710050,
40,attr0_narrow,0,1871738,2871737,0,4999999,185078,5185077,
41,attr1_narrow,1,3488949,8488948,7056024,8056023,0,4999999,
42,attr2_narrow,2,4986543,9986542,0,4999999,5565125,6565124,
43,balanced,0,0,1999999,2670019,4670018,3840314,5840313,
44,attr0_narrow,0,9000000,9999999,1381505,6381504,5000000,9999999,
45,attr1_narrow,1,922638,5922637,7739148,8739147,5000000,9999999,
46,attr2_narrow,2,5000000,9999999,2436649,7436648,8645720,9645719,
47,balanced,0,6528278,8528277,1210553,3210552,2867293,4867292,
48,attr0_narrow,0,7960833,8960832,0,4999999,3791771,8791770,
49,attr1_narrow,1,4612520,9612519,4941610,5941609,5000000,9999999,
50,attr2_narrow,2,0,4999999,3918783,8918782,365206,1365205,
51,balanced,0,6792771,8792770,2362803,4362802,2345192,4345191,
52,attr0_narrow,0,6999166,7999165,5000000,9999999,2893229,7893228,
53,attr1_narrow,1,4670338,9670337,2736649,3736648,1637787,6637786,
54,attr2_narrow,2,0,4999999,3770049,8770048,3026534,4026533,
55,balanced,0,4825090,6825089,3697818,5697817,4095103,6095102,
56,attr0_narrow,0,152866,1152865,3070006,8070005,0,4999999,
57,attr1_narrow,1,0,4999999,8984525,9984524,2898324,7898323,
58,attr2_narrow,2,5000000,9999999,0,4999999,0,999999,
59,balanced,0,6101919,8101918,5530389,7530388,7069419,9069418,
60,attr0_narrow,0,6616441,7616440,0,4999999,3401614,8401613,
61,attr1_narrow,1,0,4999999,259719,1259718,0,4999999,
62,attr2_narrow,2,1635455,6635454,5000000,9999999,4272981,5272980,
63,balanced,0,5754552,7754551,4476125,6476124,5204150,7204149,
64,attr0_narrow,0,2202417,3202416,1369137,6369136,0,4999999,
65,attr1_narrow,1,4400812,9400811,4098630,5098629,0,4999999,
66,attr2_narrow,2,5000000,9999999,5000000,9999999,2795087,3795086,
67,balanced,0,3926544,5926543,7927500,9927499,7122216,9122215,
68,attr0_narrow,0,4134443,5134442,4736694,9736693,4089212,9089211,
69,attr1_narrow,1,5000000,9999999,4518945,5518944,0,4999999,
70,attr2_narrow,2,4091348,9091347,0,4999999,5430605,6430604,
71,balanced,0,8000000,9999999,1053541,3053540,7051823,9051822,
72,attr0_narrow,0,8391630,9391629,3845682,8845681,2608052,7608051,
73,attr1_narrow,1,3762016,8762015,1580730,2580729,4607140,9607139,
74,attr2_narrow,2,3546350,8546349,0,4999999,4102678,5102677,
75,balanced,0,0,1999999,7712749,9712748,4505245,6505244,
76,attr0_narrow,0,3027779,4027778,2720961,7720960,0,4999999,
77,attr1_narrow,1,1972014,6972013,272206,1272205,0,4999999,
78,attr2_narrow,2,3506954,8506953,1393918,6393917,8859215,9859214,
79,balanced,0,6882580,8882579,8000000,9999999,0,1999999,
80,attr0_narrow,0,5218010,6218009,4267151,9267150,0,4999999,
81,attr1_narrow,1,0,4999999,2544890,3544889,1220900,6220899,
82,attr2_narrow,2,2817409,7817408,5000000,9999999,4154151,5154150,
83,balanced,0,7302327,9302326,2039460,4039459,2978867,4978866,
84,attr0_narrow,0,8025599,9025598,0,4999999,0,4999999,
85,attr1_narrow,1,0,4999999,6153593,7153592,363536,5363535,
