query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,expected_top10
0,tiny_all,0,6862989,6912988,6862989,6912988,6862989,6912988,
1,small_all,0,2174215,2274214,2174215,2274214,2174215,2274214,
2,medium_all,0,1470085,1970084,1470085,1970084,1470085,1970084,
3,attr0_narrow,0,6080301,7080300,4080301,9080300,4080301,9080300,
4,attr1_narrow,1,5000000,9999999,9000000,9999999,5000000,9999999,
5,attr2_narrow,2,5000000,9999999,5000000,9999999,8900505,9900504,
6,balanced,0,2152432,4152431,2152432,4152431,2152432,4152431,
7,broad,0,4431451,9431450,4431451,9431450,4431451,9431450,
8,tiny_all,0,6098506,6148505,6098506,6148505,6098506,6148505,
9,small_all,0,6489954,6589953,6489954,6589953,6489954,6589953,
10,medium_all,0,3716690,4216689,3716690,4216689,3716690,4216689,
11,attr0_narrow,0,5964545,6964544,3964545,8964544,3964545,8964544,
12,attr1_narrow,1,5000000,9999999,8811503,9811502,5000000,9999999,
13,attr2_narrow,2,5000000,9999999,5000000,9999999,8650459,9650458,
14,balanced,0,1076927,3076926,1076927,3076926,1076927,3076926,
15,broad,0,5000000,9999999,5000000,9999999,5000000,9999999,
16,tiny_all,0,2074070,2124069,2074070,2124069,2074070,2124069,
17,small_all,0,8001725,8101724,8001725,8101724,8001725,8101724,
18,medium_all,0,3897596,4397595,3897596,4397595,3897596,4397595,
19,attr0_narrow,0,6989452,7989451,4989452,9989451,4989452,9989451,
20,attr1_narrow,1,2773785,7773784,4773785,5773784,2773785,7773784,
21,attr2_narrow,2,0,4999999,0,4999999,1319649,2319648,
22,balanced,0,7982,2007981,7982,2007981,7982,2007981,
23,broad,0,1211278,6211277,1211278,6211277,1211278,6211277,
24,tiny_all,0,8235624,8285623,8235624,8285623,8235624,8285623,
25,small_all,0,6269278,6369277,6269278,6369277,6269278,6369277,
26,medium_all,0,6371180,6871179,6371180,6871179,6371180,6871179,
27,attr0_narrow,0,5588178,6588177,3588178,8588177,3588178,8588177,
28,attr1_narrow,1,0,4999999,0,999999,0,4999999,
29,attr2_narrow,2,84257,5084256,84257,5084256,2084257,3084256,
30,balanced,0,1082087,3082086,1082087,3082086,1082087,3082086,
31,broad,0,2825056,7825055,2825056,7825055,2825056,7825055,
32,tiny_all,0,1820203,1870202,1820203,1870202,1820203,1870202,
33,small_all,0,1573770,1673769,1573770,1673769,1573770,1673769,
34,medium_all,0,2787019,3287018,2787019,3287018,2787019,3287018,
35,attr0_narrow,0,5777955,6777954,3777955,8777954,3777955,8777954,
36,attr1_narrow,1,0,4999999,133891,1133890,0,4999999,
37,attr2_narrow,2,5000000,9999999,5000000,9999999,8852829,9852828,
38,balanced,0,3267417,5267416,3267417,5267416,3267417,5267416,
39,broad,0,4113475,9113474,4113475,9113474,4113475,9113474,
40,tiny_all,0,6065510,6115509,6065510,6115509,6065510,6115509,
41,small_all,0,3630197,3730196,3630197,3730196,3630197,3730196,
42,medium_all,0,6223749,6723748,6223749,6723748,6223749,6723748,
43,attr0_narrow,0,4468986,5468985,2468986,7468985,2468986,7468985,
44,attr1_narrow,1,5000000,9999999,8088077,9088076,5000000,9999999,
45,attr2_narrow,2,251323,5251322,251323,5251322,2251323,3251322,
